Target Name	Year	Phase1	Phase2	Num	Label	First Approval Drug	Drug Type
Substance-P receptor	2002	3	3	2	Human/Protein	Aprepitant	Small molecule
Substance-P receptor	2003	4	4	2	Human/Protein	Aprepitant	Small molecule
26S proteasome	1998	1	1	1	Human/Protein	Bortezomib	Small molecule
26S proteasome	1999	1	1	?	Human/Protein	Bortezomib	Small molecule
26S proteasome	2001	2	2	1	Human/Protein	Bortezomib	Small molecule
26S proteasome	2002	3	3	1	Human/Protein	Bortezomib	Small molecule
26S proteasome	2003	4	4	1	Human/Protein	Bortezomib	Small molecule
Endothelin ET-A receptor	1993	1	1	1	Human/Protein	Bosentan	Small molecule
Endothelin ET-A receptor	1994	1	1	?	Human/Protein	Bosentan	Small molecule
Endothelin ET-A receptor	1995	1	1	1	Human/Protein	Bosentan	Small molecule
Endothelin ET-A receptor	1996	1	1	1	Human/Protein	Bosentan	Small molecule
Endothelin ET-A receptor	1997	1	1	1	Human/Protein	Bosentan	Small molecule
Endothelin ET-A receptor	1998	2	2	2	Human/Protein	Bosentan	Small molecule
Endothelin ET-A receptor	1999	2	2	3	Human/Protein	Bosentan	Small molecule
Endothelin ET-A receptor	2000	2	2	3	Human/Protein	Bosentan	Small molecule
Endothelin ET-A receptor	2001	4	4	4	Human/Protein	Bosentan	Small molecule
Endothelin ET-B receptor	1995	1	1	1	Human/Protein	Bosentan	Small molecule
Endothelin ET-B receptor	1996	1	1	1	Human/Protein	Bosentan	Small molecule
Endothelin ET-B receptor	1997	1	1	1	Human/Protein	Bosentan	Small molecule
Endothelin ET-B receptor	1998	2	2	2	Human/Protein	Bosentan	Small molecule
Endothelin ET-B receptor	1999	2	2	2	Human/Protein	Bosentan	Small molecule
Endothelin ET-B receptor	2000	2	2	2	Human/Protein	Bosentan	Small molecule
Endothelin ET-B receptor	2001	4	4	2	Human/Protein	Bosentan	Small molecule
Angiotensin-converting enzyme	1979	1	1	1	Human/Protein	Captopril	Small molecule
Angiotensin-converting enzyme	1980	1	1	?	Human/Protein	Captopril	Small molecule
Angiotensin-converting enzyme	1981	4	4	1	Human/Protein	Captopril	Small molecule
1,3-beta-d-glucan synthase	1995	1	1	1	Non-Human/Protein	Caspofungin	Small molecule
1,3-beta-d-glucan synthase	1996	1	1	?	Non-Human/Protein	Caspofungin	Small molecule
1,3-beta-d-glucan synthase	1998	1	1	1	Non-Human/Protein	Caspofungin	Small molecule
1,3-beta-d-glucan synthase	1999	3	3	1	Non-Human/Protein	Caspofungin	Small molecule
1,3-beta-d-glucan synthase	2000	3	3	2	Non-Human/Protein	Caspofungin	Small molecule
1,3-beta-d-glucan synthase	2001	4	4	3	Non-Human/Protein	Caspofungin	Small molecule
Bacterial cell membrane	1959	4	4	1	Non-Human/Non-Protein	Chlorhexidine	Small molecule
Bile acid	1961	1	1	1	Human/Non-Protein	Cholestyramine resin	Small molecule
Bile acid	1962	1	1	?	Human/Non-Protein	Cholestyramine resin	Small molecule
Bile acid	1964	4	4	1	Human/Non-Protein	Cholestyramine resin	Small molecule
Histamine H2 receptor	1972	1	1	1	Human/Protein	Cimetidine	Small molecule
Histamine H2 receptor	1973	1	1	?	Human/Protein	Cimetidine	Small molecule
Histamine H2 receptor	1977	4	4	1	Human/Protein	Cimetidine	Small molecule
Peroxisome proliferator-activated receptor alpha	1930	1	1	1	Human/Protein	Clofibrate	Small molecule
Peroxisome proliferator-activated receptor alpha	1931	1	1	?	Human/Protein	Clofibrate	Small molecule
Peroxisome proliferator-activated receptor alpha	1967	4	4	1	Human/Protein	Clofibrate	Small molecule
Human DNA	1968	1	1	1	Human/Non-Protein	Cytarabine	Small molecule
Human DNA	1969	4	4	1	Human/Non-Protein	Cytarabine	Small molecule
Interleukin-2 receptors	1990	1	1	1	Human/Protein	Denileukin diftitox	Protein drug
Interleukin-2 receptors	1991	1	1	?	Human/Protein	Denileukin diftitox	Protein drug
Interleukin-2 receptors	1995	1	2	1	Human/Protein	Denileukin diftitox	Protein drug
Interleukin-2 receptors	1996	1	2	1	Human/Protein	Denileukin diftitox	Protein drug
Interleukin-2 receptors	1997	1	2	1	Human/Protein	Denileukin diftitox	Protein drug
Interleukin-2 receptors	1998	1	2	2	Human/Protein	Denileukin diftitox	Protein drug
Interleukin-2 receptors	1999	4	4	2	Human/Protein	Denileukin diftitox	Protein drug
GABAA receptor (benzodiazepine binding-site)	1958	1	1	1	Human/Protein	Diazepam	Small molecule
GABAA receptor (benzodiazepine binding-site)	1959	1	1	?	Human/Protein	Diazepam	Small molecule
GABAA receptor (benzodiazepine binding-site)	1963	4	4	1	Human/Protein	Diazepam	Small molecule
Prostaglandin G/H synthase 2	1973	1	2	1	Human/Protein	Diclofenac sodium	Small molecule
Prostaglandin G/H synthase 2	1988	4	4	1	Human/Protein	Diclofenac sodium	Small molecule
Carbonic anhydrase 2	1961	1	1	1	Human/Protein	Dorzolamide hydrochloride	Small molecule
Carbonic anhydrase 2	1962	1	1	?	Human/Protein	Dorzolamide hydrochloride	Small molecule
Carbonic anhydrase 2	1993	2	2	1	Human/Protein	Dorzolamide hydrochloride	Small molecule
Carbonic anhydrase 2	1994	4	4	1	Human/Protein	Dorzolamide hydrochloride	Small molecule
DNA topoisomerase 2-alpha	1964	1	1	1	Human/Protein	Doxorubicin	Small molecule
DNA topoisomerase 2-alpha	1965	1	1	?	Human/Protein	Doxorubicin	Small molecule
DNA topoisomerase 2-alpha	1974	4	4	1	Human/Protein	Doxorubicin	Small molecule
Cannabinoid receptor 1	1975	1	1	1	Human/Protein	Dronabinol	Small molecule
Cannabinoid receptor 1	1976	1	1	?	Human/Protein	Dronabinol	Small molecule
Cannabinoid receptor 1	1983	2	2	1	Human/Protein	Dronabinol	Small molecule
Cannabinoid receptor 1	1985	4	4	1	Human/Protein	Dronabinol	Small molecule
Cannabinoid receptor 2	1975	1	1	1	Human/Protein	Dronabinol	Small molecule
Cannabinoid receptor 2	1976	1	1	?	Human/Protein	Dronabinol	Small molecule
Cannabinoid receptor 2	1983	2	2	1	Human/Protein	Dronabinol	Small molecule
Cannabinoid receptor 2	1985	4	4	1	Human/Protein	Dronabinol	Small molecule
Transmembrane protein gp41	1998	1	1	1	Non-Human/Protein	Enfuvirtide	Protein drug
Transmembrane protein gp41	1999	2	2	1	Non-Human/Protein	Enfuvirtide	Protein drug
Transmembrane protein gp41	2003	4	4	1	Non-Human/Protein	Enfuvirtide	Protein drug
Antithrombin-III	1973	2	2	1	Human/Protein	Enoxaparin	Small molecule
Antithrombin-III	1984	3	3	1	Human/Protein	Enoxaparin	Small molecule
Antithrombin-III	1985	3	3	1	Human/Protein	Enoxaparin	Small molecule
Antithrombin-III	1986	3	3	1	Human/Protein	Enoxaparin	Small molecule
Antithrombin-III	1987	3	3	1	Human/Protein	Enoxaparin	Small molecule
Antithrombin-III	1988	3	3	2	Human/Protein	Enoxaparin	Small molecule
Antithrombin-III	1989	3	3	1	Human/Protein	Enoxaparin	Small molecule
Antithrombin-III	1990	3	3	1	Human/Protein	Enoxaparin	Small molecule
Antithrombin-III	1992	2	2	1	Human/Protein	Enoxaparin	Small molecule
Antithrombin-III	1993	4	4	2	Human/Protein	Enoxaparin	Small molecule
Erythropoietin receptor	1987	1	2	1	Human/Protein	Epoetin alpha	Protein drug
Erythropoietin receptor	1989	4	4	1	Human/Protein	Epoetin alpha	Protein drug
Prostacyclin receptor	1983	1	1	1	Human/Protein	Epoprostenol sodium	Small molecule
Prostacyclin receptor	1984	1	1	?	Human/Protein	Epoprostenol sodium	Small molecule
Prostacyclin receptor	1988	2	2	1	Human/Protein	Epoprostenol sodium	Small molecule
Prostacyclin receptor	1995	4	4	2	Human/Protein	Epoprostenol sodium	Small molecule
Bacterial 50S ribosome subunit	1952	4	4	1	Non-Human/Non-Protein	Erythromycin	Small molecule
Tumor necrosis factor	1957	1	1	1	Human/Protein	Etanercept	Protein drug
Tumor necrosis factor	1958	1	1	?	Human/Protein	Etanercept	Protein drug
Tumor necrosis factor	1995	2	3	2	Human/Protein	Etanercept	Protein drug
Tumor necrosis factor	1996	2	3	2	Human/Protein	Etanercept	Protein drug
Tumor necrosis factor	1997	2	3	2	Human/Protein	Etanercept	Protein drug
Tumor necrosis factor	1998	4	4	4	Human/Protein	Etanercept	Protein drug
NPC1-like intracellular cholesterol transporter 1	1995	1	1	1	Human/Protein	Ezetimibe	Small molecule
NPC1-like intracellular cholesterol transporter 1	1996	1	1	?	Human/Protein	Ezetimibe	Small molecule
NPC1-like intracellular cholesterol transporter 1	2001	3	3	1	Human/Protein	Ezetimibe	Small molecule
NPC1-like intracellular cholesterol transporter 1	2002	4	4	1	Human/Protein	Ezetimibe	Small molecule
Granulocyte colony-stimulating factor receptor	1987	1	1	1	Human/Protein	Filgrastim	Protein drug
Granulocyte colony-stimulating factor receptor	1988	2	2	1	Human/Protein	Filgrastim	Protein drug
Granulocyte colony-stimulating factor receptor	1989	2	2	1	Human/Protein	Filgrastim	Protein drug
Granulocyte colony-stimulating factor receptor	1990	2	2	1	Human/Protein	Filgrastim	Protein drug
Granulocyte colony-stimulating factor receptor	1991	4	4	1	Human/Protein	Filgrastim	Protein drug
Lanosterol 14-alpha demethylase	1985	1	2	2	Non-Human/Protein	Fluconazole	Small molecule
Lanosterol 14-alpha demethylase	1989	3	3	1	Non-Human/Protein	Fluconazole	Small molecule
Lanosterol 14-alpha demethylase	1990	4	4	1	Non-Human/Protein	Fluconazole	Small molecule
Follicle stimulating hormone	1985	1	1	1	Human/Protein	Follitropin alpha	Protein drug
Follicle stimulating hormone	1986	1	1	?	Human/Protein	Follitropin alpha	Protein drug
Follicle stimulating hormone	1997	4	4	1	Human/Protein	Follitropin alpha	Protein drug
Solute carrier family 12 member 1	1962	1	1	1	Human/Protein	Furosemide	Small molecule
Solute carrier family 12 member 1	1963	1	1	?	Human/Protein	Furosemide	Small molecule
Solute carrier family 12 member 1	1966	4	4	1	Human/Protein	Furosemide	Small molecule
Epidermal growth factor receptor	1985	2	2	1	Human/Protein	Gefitinib	Small molecule
Epidermal growth factor receptor	1995	3	3	1	Human/Protein	Gefitinib	Small molecule
Epidermal growth factor receptor	1996	3	3	1	Human/Protein	Gefitinib	Small molecule
Epidermal growth factor receptor	1997	3	3	1	Human/Protein	Gefitinib	Small molecule
Epidermal growth factor receptor	1998	3	3	1	Human/Protein	Gefitinib	Small molecule
Epidermal growth factor receptor	1999	3	3	3	Human/Protein	Gefitinib	Small molecule
Epidermal growth factor receptor	2000	3	3	3	Human/Protein	Gefitinib	Small molecule
Epidermal growth factor receptor	2001	3	3	4	Human/Protein	Gefitinib	Small molecule
Epidermal growth factor receptor	2002	3	3	5	Human/Protein	Gefitinib	Small molecule
Epidermal growth factor receptor	2003	4	4	6	Human/Protein	Gefitinib	Small molecule
Myeloid cell surface antigen CD33	1993	1	1	1	Human/Protein	Gemtuzumab ozogamicin	Antibody
Myeloid cell surface antigen CD33	1994	2	2	1	Human/Protein	Gemtuzumab ozogamicin	Antibody
Myeloid cell surface antigen CD33	1995	2	2	1	Human/Protein	Gemtuzumab ozogamicin	Antibody
Myeloid cell surface antigen CD33	1996	2	2	1	Human/Protein	Gemtuzumab ozogamicin	Antibody
Myeloid cell surface antigen CD33	1997	2	2	2	Human/Protein	Gemtuzumab ozogamicin	Antibody
Myeloid cell surface antigen CD33	1998	2	2	2	Human/Protein	Gemtuzumab ozogamicin	Antibody
Myeloid cell surface antigen CD33	1999	2	2	2	Human/Protein	Gemtuzumab ozogamicin	Antibody
Myeloid cell surface antigen CD33	2000	4	4	3	Human/Protein	Gemtuzumab ozogamicin	Antibody
ATP-binding cassette sub-family C member 8	1969	1	1	1	Human/Protein	Glibenclamide	Small molecule
ATP-binding cassette sub-family C member 8	1970	1	1	?	Human/Protein	Glibenclamide	Small molecule
ATP-binding cassette sub-family C member 8	1984	4	4	1	Human/Protein	Glibenclamide	Small molecule
Glucagon	1955	1	1	1	Human/Protein	Glucagon hydrochloride	Protein drug
Glucagon	1956	1	1	?	Human/Protein	Glucagon hydrochloride	Protein drug
Glucagon	1960	4	4	1	Human/Protein	Glucagon hydrochloride	Protein drug
Dopamine D3 receptor	1964	1	1	1	Human/Protein	Haloperidol	Small molecule
Dopamine D3 receptor	1965	1	1	?	Human/Protein	Haloperidol	Small molecule
Dopamine D3 receptor	1967	4	4	1	Human/Protein	Haloperidol	Small molecule
Kit tyrosine kinase	1993	1	1	1	Human/Protein	Imatinib mesylate	Small molecule
Kit tyrosine kinase	1994	1	1	1	Human/Protein	Imatinib mesylate	Small molecule
Kit tyrosine kinase	1995	1	1	1	Human/Protein	Imatinib mesylate	Small molecule
Kit tyrosine kinase	1996	1	1	1	Human/Protein	Imatinib mesylate	Small molecule
Kit tyrosine kinase	1997	1	1	1	Human/Protein	Imatinib mesylate	Small molecule
Kit tyrosine kinase	1998	2	2	2	Human/Protein	Imatinib mesylate	Small molecule
Kit tyrosine kinase	1999	2	2	1	Human/Protein	Imatinib mesylate	Small molecule
Kit tyrosine kinase	2000	3	3	2	Human/Protein	Imatinib mesylate	Small molecule
Kit tyrosine kinase	2001	4	4	2	Human/Protein	Imatinib mesylate	Small molecule
BCR-ABL tyrosine kinase	1998	1	1	1	Human/Protein	Imatinib mesylate	Small molecule
BCR-ABL tyrosine kinase	1999	1	1	?	Human/Protein	Imatinib mesylate	Small molecule
BCR-ABL tyrosine kinase	2000	3	3	1	Human/Protein	Imatinib mesylate	Small molecule
BCR-ABL tyrosine kinase	2001	4	4	1	Human/Protein	Imatinib mesylate	Small molecule
PDGF receptor	1998	1	1	1	Human/Protein	Imatinib mesylate	Small molecule
PDGF receptor	1999	1	1	?	Human/Protein	Imatinib mesylate	Small molecule
PDGF receptor	2000	3	3	1	Human/Protein	Imatinib mesylate	Small molecule
PDGF receptor	2001	4	4	1	Human/Protein	Imatinib mesylate	Small molecule
Sodium-dependent noradrenaline transporter	1957	1	1	1	Human/Protein	Imipramine	Small molecule
Sodium-dependent noradrenaline transporter	1958	1	1	?	Human/Protein	Imipramine	Small molecule
Sodium-dependent noradrenaline transporter	1959	4	4	1	Human/Protein	Imipramine	Small molecule
Sodium-dependent serotonin transporter	1957	1	1	1	Human/Protein	Imipramine	Small molecule
Sodium-dependent serotonin transporter	1958	1	1	?	Human/Protein	Imipramine	Small molecule
Sodium-dependent serotonin transporter	1959	4	4	1	Human/Protein	Imipramine	Small molecule
Insulin	1922	1	1	1	Human/Protein	Insulin Human	Protein drug
Insulin	1923	1	1	?	Human/Protein	Insulin Human	Protein drug
Insulin	1982	4	4	1	Human/Protein	Insulin Human	Protein drug
Interferon alpha/beta receptor	1981	1	1	1	Human/Protein	Interferon alpha-2b	Protein drug
Interferon alpha/beta receptor	1982	1	1	?	Human/Protein	Interferon alpha-2b	Protein drug
Interferon alpha/beta receptor	1986	4	4	2	Human/Protein	Interferon alpha-2b	Protein drug
DNA topoisomerase 1	1972	1	1	1	Human/Protein	Irinotecan	Small molecule
DNA topoisomerase 1	1973	1	1	?	Human/Protein	Irinotecan	Small molecule
DNA topoisomerase 1	1993	1	1	1	Human/Protein	Irinotecan	Small molecule
DNA topoisomerase 1	1994	1	1	1	Human/Protein	Irinotecan	Small molecule
DNA topoisomerase 1	1995	2	2	3	Human/Protein	Irinotecan	Small molecule
DNA topoisomerase 1	1996	4	4	3	Human/Protein	Irinotecan	Small molecule
Polymerase/reverse transcriptase domain (RT)	1992	1	1	1	Non-Human/Protein	Lamivudine	Small molecule
Polymerase/reverse transcriptase domain (RT)	1993	1	1	?	Non-Human/Protein	Lamivudine	Small molecule
Polymerase/reverse transcriptase domain (RT)	1995	4	4	1	Non-Human/Protein	Lamivudine	Small molecule
Voltage-gated sodium channel	1980	1	1	1	Human/Protein	Lamotrigine	Small molecule
Voltage-gated sodium channel	1981	1	1	?	Human/Protein	Lamotrigine	Small molecule
Voltage-gated sodium channel	1993	2	2	1	Human/Protein	Lamotrigine	Small molecule
Voltage-gated sodium channel	1994	4	4	1	Human/Protein	Lamotrigine	Small molecule
Alpha-L-iduronidase	1997	1	2	1	Human/Protein	Laronidase	Protein drug
Alpha-L-iduronidase	2000	3	3	1	Human/Protein	Laronidase	Protein drug
Alpha-L-iduronidase	2001	3	3	1	Human/Protein	Laronidase	Protein drug
Alpha-L-iduronidase	2002	3	3	1	Human/Protein	Laronidase	Protein drug
Alpha-L-iduronidase	2003	4	4	1	Human/Protein	Laronidase	Protein drug
Prostaglandin F2-alpha receptor	1986	1	1	1	Human/Protein	Latanoprost	Small molecule
Prostaglandin F2-alpha receptor	1987	1	1	?	Human/Protein	Latanoprost	Small molecule
Prostaglandin F2-alpha receptor	1992	3	3	1	Human/Protein	Latanoprost	Small molecule
Prostaglandin F2-alpha receptor	1993	3	3	1	Human/Protein	Latanoprost	Small molecule
Prostaglandin F2-alpha receptor	1996	4	4	1	Human/Protein	Latanoprost	Small molecule
Prothrombin	1993	1	1	1	Human/Protein	Lepirudin recombinant	Protein drug
Prothrombin	1994	1	1	?	Human/Protein	Lepirudin recombinant	Protein drug
Prothrombin	1996	1	1	1	Human/Protein	Lepirudin recombinant	Protein drug
Prothrombin	1997	3	3	1	Human/Protein	Lepirudin recombinant	Protein drug
Prothrombin	1998	4	4	1	Human/Protein	Lepirudin recombinant	Protein drug
Gonadotropin-releasing hormone receptor	1981	1	1	1	Human/Protein	Leuprolide acetate	Small molecule
Gonadotropin-releasing hormone receptor	1982	2	2	1	Human/Protein	Leuprolide acetate	Small molecule
Gonadotropin-releasing hormone receptor	1985	4	4	1	Human/Protein	Leuprolide acetate	Small molecule
Synaptic vesicle glycoprotein 2A	1994	1	1	1	Human/Protein	Levetiracetam	Small molecule
Synaptic vesicle glycoprotein 2A	1995	1	1	?	Human/Protein	Levetiracetam	Small molecule
Synaptic vesicle glycoprotein 2A	1999	4	4	1	Human/Protein	Levetiracetam	Small molecule
Type-1 angiotensin II receptor	1992	1	1	1	Human/Protein	Losartan Potassium	Small molecule
Type-1 angiotensin II receptor	1993	1	1	?	Human/Protein	Losartan Potassium	Small molecule
Type-1 angiotensin II receptor	1994	2	2	2	Human/Protein	Losartan Potassium	Small molecule
Type-1 angiotensin II receptor	1995	4	4	2	Human/Protein	Losartan Potassium	Small molecule
3-hydroxy-3-methylglutaryl-coenzyme A reductase	1980	1	1	1	Human/Protein	Lovastatin	Small molecule
3-hydroxy-3-methylglutaryl-coenzyme A reductase	1981	1	1	?	Human/Protein	Lovastatin	Small molecule
3-hydroxy-3-methylglutaryl-coenzyme A reductase	1987	4	4	2	Human/Protein	Lovastatin	Small molecule
NMDA receptor	1993	2	2	1	Human/Protein	Memantine	Small molecule
NMDA receptor	1994	2	2	1	Human/Protein	Memantine	Small molecule
NMDA receptor	1995	2	2	1	Human/Protein	Memantine	Small molecule
NMDA receptor	1996	2	2	1	Human/Protein	Memantine	Small molecule
NMDA receptor	1997	2	2	1	Human/Protein	Memantine	Small molecule
NMDA receptor	1998	2	2	1	Human/Protein	Memantine	Small molecule
NMDA receptor	1999	2	2	1	Human/Protein	Memantine	Small molecule
NMDA receptor	2000	2	2	1	Human/Protein	Memantine	Small molecule
NMDA receptor	2001	2	2	1	Human/Protein	Memantine	Small molecule
NMDA receptor	2003	4	4	1	Human/Protein	Memantine	Small molecule
Bacterial DNA	1959	1	1	1	Non-Human/Non-Protein	Metronidazole	Small molecule
Bacterial DNA	1960	1	1	?	Non-Human/Non-Protein	Metronidazole	Small molecule
Bacterial DNA	1963	4	4	1	Non-Human/Non-Protein	Metronidazole	Small molecule
Ceramide glucosyltransferase	1999	1	1	1	Human/Protein	Miglustat	Small molecule
Ceramide glucosyltransferase	2000	1	1	?	Human/Protein	Miglustat	Small molecule
Ceramide glucosyltransferase	2002	2	2	1	Human/Protein	Miglustat	Small molecule
Ceramide glucosyltransferase	2003	4	4	1	Human/Protein	Miglustat	Small molecule
Bacterial DNA topoisomerase IV	1962	1	1	1	Non-Human/Protein	Nalidixic acid	Small molecule
Bacterial DNA topoisomerase IV	1963	1	1	1	Non-Human/Protein	Nalidixic acid	Small molecule
Bacterial DNA topoisomerase IV	1964	4	4	1	Non-Human/Protein	Nalidixic acid	Small molecule
Bacterial DNA gyrase	1962	1	1	1	Non-Human/Protein	Nalidixic acid	Small molecule
Bacterial DNA gyrase	1963	1	1	1	Non-Human/Protein	Nalidixic acid	Small molecule
Bacterial DNA gyrase	1964	4	4	1	Non-Human/Protein	Nalidixic acid	Small molecule
Pyruvate dehydrogenase [NADP(+)]	1995	1	1	1	Non-Human/Protein	Nitazoxanide	Small molecule
Pyruvate dehydrogenase [NADP(+)]	1996	1	1	1	Non-Human/Protein	Nitazoxanide	Small molecule
Pyruvate dehydrogenase [NADP(+)]	1998	2	3	1	Non-Human/Protein	Nitazoxanide	Small molecule
Pyruvate dehydrogenase [NADP(+)]	2000	3	3	1	Non-Human/Protein	Nitazoxanide	Small molecule
Pyruvate dehydrogenase [NADP(+)]	2002	4	4	1	Non-Human/Protein	Nitazoxanide	Small molecule
4-hydroxyphenylpyruvate dioxygenase	1991	1	1	1	Human/Protein	Nitisinone	Small molecule
4-hydroxyphenylpyruvate dioxygenase	1992	1	1	?	Human/Protein	Nitisinone	Small molecule
4-hydroxyphenylpyruvate dioxygenase	2002	4	4	1	Human/Protein	Nitisinone	Small molecule
Progesterone receptor	1956	1	1	1	Human/Protein	Norethindrone	Small molecule
Progesterone receptor	1957	4	4	1	Human/Protein	Norethindrone	Small molecule
Somatostatin receptor type 2	1981	1	1	1	Human/Protein	Octreotide acetate	Small molecule
Somatostatin receptor type 2	1982	1	1	?	Human/Protein	Octreotide acetate	Small molecule
Somatostatin receptor type 2	1983	1	1	?	Human/Protein	Octreotide acetate	Small molecule
Somatostatin receptor type 2	1988	4	4	1	Human/Protein	Octreotide acetate	Small molecule
Somatostatin receptor type 5	1981	1	1	1	Human/Protein	Octreotide acetate	Small molecule
Somatostatin receptor type 5	1982	1	1	?	Human/Protein	Octreotide acetate	Small molecule
Somatostatin receptor type 5	1983	1	1	?	Human/Protein	Octreotide acetate	Small molecule
Somatostatin receptor type 5	1988	4	4	1	Human/Protein	Octreotide acetate	Small molecule
Low affinity immunoglobulin epsilon Fc receptor	1991	1	1	1	Human/Protein	Omalizumab	Antibody
Low affinity immunoglobulin epsilon Fc receptor	1992	1	1	?	Human/Protein	Omalizumab	Antibody
Low affinity immunoglobulin epsilon Fc receptor	2002	3	3	2	Human/Protein	Omalizumab	Antibody
Low affinity immunoglobulin epsilon Fc receptor	2003	4	4	2	Human/Protein	Omalizumab	Antibody
Gastric H(+)/K(+) ATPase	1981	2	3	1	Human/Protein	Omeprazole	Small molecule
Gastric H(+)/K(+) ATPase	1989	4	4	1	Human/Protein	Omeprazole	Small molecule
5-HT 3 receptor	1987	1	1	1	Human/Protein	Ondansetron	Small molecule
5-HT 3 receptor	1988	1	1	?	Human/Protein	Ondansetron	Small molecule
5-HT 3 receptor	1991	4	4	1	Human/Protein	Ondansetron	Small molecule
Pancreatic triacylglycerol lipase	1995	1	1	1	Human/Protein	Orlistat	Small molecule
Pancreatic triacylglycerol lipase	1996	1	1	?	Human/Protein	Orlistat	Small molecule
Pancreatic triacylglycerol lipase	1998	2	2	1	Human/Protein	Orlistat	Small molecule
Pancreatic triacylglycerol lipase	1999	4	4	1	Human/Protein	Orlistat	Small molecule
Tubulin beta	1990	1	1	1	Human/Protein	Paclitaxel	Small molecule
Tubulin beta	1991	1	1	?	Human/Protein	Paclitaxel	Small molecule
Tubulin beta	1992	4	4	2	Human/Protein	Paclitaxel	Small molecule
