Target Name	Label	First Approval Drug	Drug Type	Disease	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003
Tubulin beta	Human/Protein	Paclitaxel	Small molecule	Cancer	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Colchicine": "NCT00004368"}})	?P1	P4 (2||{"P4": {"Paclitaxel": "NDA020262"}, "P1": {"Vinorelbine": "PMID: 1327022"}})	.	.	.	.	.	.	.	.	.	.	.
BCR-ABL tyrosine kinase	Human/Protein	Imatinib mesylate	Small molecule	Cancer	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Imatinib mesylate": "https://www.pagepress.org/journals/index.php/hmr/article/viewFile/277/185||Imatinib, the first clinically viable Abl kinase inhibitor, is the result of a medicinal chemistry project initiated by Ciba Geigy (now Novartis) in the early 1990s, with protein kinase C as the initial target. Phase I studies started in June 1998 and established the efficacy of imatinib in patients with CML in all phases.; PMID: 11870247"}})	?P1	P3 (1||{"P3": {"Imatinib mesylate": "NCT00009906"}})	P4 (1||{"P4": {"Imatinib mesylate": "NDA021335"}})	.	.
PDGF receptor	Human/Protein	Imatinib mesylate	Small molecule	Cancer	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Imatinib mesylate": "https://www.pagepress.org/journals/index.php/hmr/article/viewFile/277/185||Imatinib, the first clinically viable Abl kinase inhibitor, is the result of a medicinal chemistry project initiated by Ciba Geigy (now Novartis) in the early 1990s, with protein kinase C as the initial target. Phase I studies started in June 1998 and established the efficacy of imatinib in patients with CML in all phases.; PMID: 11870247"}})	?P1	P3 (1||{"P3": {"Imatinib mesylate": "NCT00009906"}})	P4 (1||{"P4": {"Imatinib mesylate": "NDA021335"}})	.	.
Mineralocorticoid receptor	Human/Protein	Spironolactone	Small molecule	Circul	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"SC 8109": "PMID: 14409470||The aldosterone antagonist, SC-8109, was administered to a patient with clinical and biochemical evidence suggesting mineralocorticoid excess."}})	?P1	.	P4 (1||{"P4": {"Spironolactone": "NDA012151"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Muscarinic acetylcholine receptor M3	Human/Protein	Tolterodine tartrate	Small molecule	Genit	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Tolterodine tartrate": "PMID: 9121357||In the first clinical phase I study, tolterodine was given as single oral doses (0.2-12.8mg) to healthy volunteeers."}})	?P1	.	P4 (1||{"P4": {"Tolterodine tartrate": "NDA020771"}})	.	.	.	.	.
Dopamine D3 receptor	Human/Protein	Haloperidol	Small molecule	Nerve	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Haloperidol": "American Journal of Psychiatry 1964;121:592‐4. "}})	?P1	.	P4 (1||{"P4": {"Haloperidol": "NDA015921"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Type-1 angiotensin II receptor	Human/Protein	Losartan Potassium	Small molecule	Circul	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Losartan Potassium": "NCT00882440; PMID:8583479; PMID: 1290620||Losartan is the first nonpeptide orally active Ang II receptor antagonist to reach clinical trials.; PMID:8583479||Discovery of losartan, the first angiotensin II receptor antagonist.; PMID: 1290620||The nonpeptide angiotensin II (All)-receptor antagonist losartan is a selective blocker of the pressor effects of AIL It is now being evaluated as an antihypertensive drug in multicenter clinical trials in the United States and other countries. Preliminary inpatient studies have shown that after 5 days of treatment, losartan—in doses of 50,100, and 150 mg — is significantly more effective than placebo in decreasing blood pressure, and has efficacy similar to that of the angiotensin-converting enzyme (ACE) inhibitor enalapril."}})	?P1	P2 (2||{"P2": {"Candesartan cilexetil": "PMID: 7884583||Open Clinical Studies on a New Angiotensin II Receptor Antagonist, TCV 116"}, "P1": {"Valsartan": "PMID: 7867676||Angiotensin II Receptor Blockade With Single Doses of Valsartan in Healthy, Normotensive Subjects"}})	P4 (2||{"P1": {"Irbesartan": "PMID: 7721404||Short-term and Sustained Renal Effects of Angiotensin II Receptor Blockade in Healthy Subjects"}, "P4": {"Losartan Potassium": "NDA020386"}})	.	.	.	.	.	.	.	.
Androgen receptor	Human/Protein	Testosterone	Small molecule	Metabo	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Cyproterone": "https://www.fertstert.org/article/S0015-0282(16)49873-0/pdf||The antiandrogen cyproterone acetate (CPA) was first used clinically by Hammerstein and Cup- ceancu."}})	?P1	.	P4 (1||{"P4": {"Testosterone": "ANDA080911"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Gonadotropin-releasing hormone receptor	Human/Protein	Leuprolide acetate	Small molecule	Cancer	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Leuprolide acetate": "PMID: 6354840||d-Leu-6-LH-RH-EA was administered intramuscularly for 90 days at a daily dose of 5 µg (four patients), 10 µg (four patients), 20 µg (five patients), and 200 µg (four patients)."}})	P2 (1||{"P2": {"Leuprolide acetate": "PMID: 6810559||From contraception to cancer: a review of the therapeutic applications of LHRH analogues as antitumor agents||reference 51:Harvey HA, Lipton A, Santen RJ, et al: Phase II study of a gonadotropin-releasing hormone analogue (Leuprolide) in postmenopausal advanced breast cancer patients. Proc Amer Assoc CanRes/Amer Soc Clin Oncol 22:444, 1981"}})	.	.	P4 (1||{"P4": {"Leuprolide acetate": "NDA019010"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Retinoic acid receptor gamma	Human/Protein	Tretinoin	Small molecule	Skin	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Tretinoin": "PMID: 5676695||Topical vitamin A acid under occlusion was used on two cases of Darier's disease."}})	?P1	.	P4 (1||{"P4": {"Tretinoin": "NDA016921"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
5-HT 3 receptor	Human/Protein	Ondansetron	Small molecule	Others	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"GR38032F": "PMID: 2885454||15 patients receiving cytotoxic drugs (other than cisplatin) that had previously produced nausea and vomiting refractory to first-line antiemetics were given a selective 5-HT3 receptor antagonist (GR38032F), 4 mg intravenously and 4 mg orally, immediately before chemotherapy, the oral dose being repeated 5 and 10h later."}})	?P1	.	.	P4 (1||{"P4": {"Ondansetron": "NDA020007"}})	.	.	.	.	.	.	.	.	.	.	.	.
Granulocyte colony-stimulating factor receptor	Human/Protein	Filgrastim	Protein drug	Immu	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Filgrastim": "PMCID: PMC2033349||Granulocyte colony-stimulating factor (G-CSF) was the first human haemopoietic growth factor to be introduced into clinical practice; PMID: 9601125||G-CSF has had a remarkable pathway for clinical development from its introduction to clinical trials in 1987."}})	P2 (1||{"P2": {"Filgrastim": "NCT00002461||Combination Chemotherapy Followed by Bone Marrow or Peripheral Stem Cell Transplantation in Treating Patients With Refractory Hodgkin's Disease or Non-Hodgkin's Lymphoma"}})	P2 (1||{"P2": {"Filgrastim": "NCT00002461||Combination Chemotherapy Followed by Bone Marrow or Peripheral Stem Cell Transplantation in Treating Patients With Refractory Hodgkin's Disease or Non-Hodgkin's Lymphoma"}})	P2 (1||{"P2": {"Filgrastim": "NCT00002461||Combination Chemotherapy Followed by Bone Marrow or Peripheral Stem Cell Transplantation in Treating Patients With Refractory Hodgkin's Disease or Non-Hodgkin's Lymphoma"}})	P4 (1||{"P4": {"Filgrastim": "BLA103353"}})	.	.	.	.	.	.	.	.	.	.	.	.
Pancreatic triacylglycerol lipase	Human/Protein	Orlistat	Small molecule	Metabo	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Orlistat": "PMID: 7627244||The first multicenter clinical trial establishing the efficacy of orlistat was published in 1995 by Drent and colleagues.; Murphy L J. Orlistat: an update after the first decade of clinical experience[J]. Therapy, 2005, 2(1):7-12."}})	?P1	.	P2 (1||{"P2": {"Orlistat": "NCT00001723"}})	P4 (1||{"P4": {"Orlistat": "NDA020766"}})	.	.	.	.
Solute carrier family 12 member 1	Human/Protein	Furosemide	Small molecule	Circul	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Furosemide": "PMID: 14185657||Experience of this preparation over 22 months and with more than 80 patients is now reported, the trial substance in the United Kingdom having been known as Salu 058, now available commercially as Lasix."}})	?P1	.	.	P4 (1||{"P4": {"Furosemide": "NDA016273"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Growth hormone receptor	Human/Protein	Pegvisomant	Protein drug	Metabo	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Pegvisomant": "PMID: 12090548||By September 1998, phase 1 trials of the treatment were underway for diabetic retinopathy"}})	?P1	?P1	P3 (1||{"P3": {"Pegvisomant": "NCT00017927"}})	P3 (1||{"P3": {"Pegvisomant": "NCT00017927"}})	P4 (1||{"P4": {"Pegvisomant": "NCT00068042; NDA021106"}})
Ceramide glucosyltransferase	Human/Protein	Miglustat	Small molecule	Metabo	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Miglustat": "PMID: 17609429||In April 2000, the results of the first clinical trial with miglustat, an oral substrate inhibitor, as monotherapy in 28 adult patients with non-neuronopathic (type I) Gaucher disease were reported.; PMID: 10339597||One such inhibitor is N-butyldeoxynojirimycin, which currently is in clinical trials for the potential treatment of type 1 Gaucher disease."}})	?P1	.	P2 (1||{"P2": {"Miglustat": "NCT00041535; NCT00517153"}})	P4 (1||{"P4": {"Miglustat": "NDA021348"}})
Somatotropin	Human/Protein	Somatrem	Protein drug	Metabo	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Recombinant human growth hormone": "https://en.wikipedia.org/wiki/Growth_hormone||Genentech pioneered the first use of recombinant human growth hormone for human therapy in 1981.; https://en.wikipedia.org/wiki/Growth_hormone_therapy#History||Because this was new technology, approval was deferred as lengthy safety trials continued over the next four years."}})	P2/P3 (1||{"P2/P3": {"Somatrem": "https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1651-2227.1987.tb17089.x"}})	.	.	P4 (1||{"P4": {"Somatrem": "NDA019107"}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
26S proteasome	Human/Protein	Bortezomib	Small molecule	Cancer	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Bortezomib": "https://www.sciencedirect.com/topics/neuroscience/bortezomib||Bortezomib is the first therapeutic proteasome inhibitor to be tested in humans.; PMID: 10499643||PS-341 was chosen as the first representative of this new class of agents to enter the clinic and is currently under Phase I clinical evaluation.; PMID: 9766662||(Received 5/13/98)."}})	?P1	.	P2 (1||{"P2": {"Bortezomib": "NCT00023712; NCT00425503"}})	P3 (1||{"P3": {"Bortezomib": "NCT00063726; NCT00048230"}})	P4 (1||{"P4": {"Bortezomib": "NDA021602"}})
Prothrombin	Human/Protein	Lepirudin recombinant	Protein drug	Hema	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Lepirudin recombinant": "PMID: 23479835||The \"youngest\" class of anticoagulants, direct thrombin inhibitors (DTIs) bind and inhibit thrombin without involving any other coagulation protein. Hirudin, a component of Hirudo medicinalis (medicinal leech) saliva, was first described as an anticoagulant by Haycraft way back in 1884, was chemically characterized in 1976, and synthesized as lepirudin by Berlex, Ine in the 1990s. Lepirudin (Refludan ), a 65 amino acid polypeptide, was cleared by the FDA in 1998. It was indicated as a substitute for UFH in patients who had developed heparin-induced thrombocytopenia with thrombosis (HITT, HIT).9 Largely replaced by the oligopeptide bivalirudin (Angiomax ), released in 2006, lepirudin's European producer terminated its production on May 31, 2012.; PMID: 8409044||Clinical pharmacology of the intravenously administered recombinant desulfatohirudin CGP 39393 was investigated in 47 healthy volunteers in a multicenter study.(phase 1 1993)The biologic effect of recombinant desulfato-hirudin (CGP 39393) administered as single or repeated (every 8 h for 3 days or every 12 h for 6 days) subcutaneous injections was studied in 231 healthy human volunteers."}})	?P1	.	P1 (1||{"P1": {"Desirudin": "PMID: 8872129"}})	P3 (1||{"P3": {"Desirudin": "PMID: 9358126"}})	P4 (1||{"P4": {"Lepirudin recombinant": "NDA020807"}})	.	.	.	.	.
Peptidyl-prolyl cis-trans isomerase FKBP1A	Human/Protein	Tacrolimus	Small molecule	Immu	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Tacrolimus": "PMID: 7693372||Experimental data were first published in 1987, and clinical trials were started 2 years later in Pittsburgh. Phase1 1999."}})	?P1	.	.	.	P4 (1||{"P4": {"Tacrolimus": "NDA050708"}})	.	.	.	.	.	.	.	.	.
Alpha-galactosidase A	Human/Protein	Agalsidase beta	Protein drug	Metabo	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Agalsidase beta": "https://keionline.org/sites/default/files/Replagal_Fabrazyme_Timeline.pdf"}})	P3 (2||{"P1": {"Agalsidase alpha": "PMID: 10618424||To investigate the effects of purified a-gal A, 10 patients with Fabry disease received a single i.v. infusion of one of five escalating dose levels of the enzyme.agalsidase alfa.; PMID: 11386930||Double-blind placebo-controlled trial conducted from December 1998 to August 1999 at the Clinical Research Center of the National Institutes of Health."}, "P3": {"Agalsidase beta": "NCT00074971"}})	P3 (1||{"P3": {"Agalsidase beta": "NCT00074971"}})	P3 (1||{"P3": {"Agalsidase beta": "NCT00074971"}})	P3 (2||{"P3": {"Agalsidase beta": "NCT00074971"}, "P2": {"DRX005B": "NCT00048906"}})	P4 (2||{"P4": {"Agalsidase beta": "BLA103979; NCT00074984; NCT00196716; NCT00837824"}, "P2": {"DRX005B": "NCT00048906"}})
Interferon alpha/beta receptor	Human/Protein	Interferon alpha-2b	Protein drug	Cancer	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	P1 (1||{"P1": {"Interferon alpha-2b": "PMID: 3542185||And the drug was approved in the United States in June 1986, less than 5 years after Phase I trials had been initiated."}})	?P1	.	.	.	P4 (2||{"P4": {"Interferon alpha-2b": "BLA103132"}, "P1": {"Interferon beta-1b": "PMID: 3014018||A total of 10 volunteers were each given a total of 2.6 X 10(7) units of IFN-beta ser as 13 doses administered three times daily over 4 days and there were negligible symptoms that were not significantly different from those in 10 given placebo. Twenty-seven volunteers were then given the same regime and challenged after the fourth dose with rhinovirus types 9 and 14. Compared with 27 volunteers given placebo and virus, there were significant reductions in the mean total clinical scores, the amount of nasal secretion, and the frequency of virus excretion."}})	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
