Target Name	Year	Phase1	Phase2	Num	Label	First Approval Drug	Drug Type	Disease
GnRH receptor	1982	2	2	1	Human/Protein	Leuprolide acetate	Small molecule	Cancer
GnRH receptor	1985	4	4	1	Human/Protein	Leuprolide acetate	Small molecule	Cancer
CD52	1988	1	1	1	Human/Protein	Alemtuzumab	Antibody	Cancer
CD52	1989	1	1	?	Human/Protein	Alemtuzumab	Antibody	Cancer
CD52	1999	2	2	1	Human/Protein	Alemtuzumab	Antibody	Cancer
CD52	2000	2	2	1	Human/Protein	Alemtuzumab	Antibody	Cancer
CD52	2001	4	4	1	Human/Protein	Alemtuzumab	Antibody	Cancer
BCR-ABL tyrosine kinase	1998	1	1	1	Human/Protein	Imatinib mesylate	Small molecule	Cancer
BCR-ABL tyrosine kinase	1999	1	1	?	Human/Protein	Imatinib mesylate	Small molecule	Cancer
BCR-ABL tyrosine kinase	2000	3	3	1	Human/Protein	Imatinib mesylate	Small molecule	Cancer
BCR-ABL tyrosine kinase	2001	4	4	1	Human/Protein	Imatinib mesylate	Small molecule	Cancer
KIT	1993	1	1	1	Human/Protein	Imatinib mesylate	Small molecule	Cancer
KIT	1994	1	1	1	Human/Protein	Imatinib mesylate	Small molecule	Cancer
KIT	1995	1	1	1	Human/Protein	Imatinib mesylate	Small molecule	Cancer
KIT	1996	1	1	1	Human/Protein	Imatinib mesylate	Small molecule	Cancer
KIT	1997	1	1	1	Human/Protein	Imatinib mesylate	Small molecule	Cancer
KIT	1998	2	2	2	Human/Protein	Imatinib mesylate	Small molecule	Cancer
KIT	1999	2	2	1	Human/Protein	Imatinib mesylate	Small molecule	Cancer
KIT	2000	3	3	2	Human/Protein	Imatinib mesylate	Small molecule	Cancer
KIT	2001	4	4	2	Human/Protein	Imatinib mesylate	Small molecule	Cancer
PDGF receptor	1998	1	1	1	Human/Protein	Imatinib mesylate	Small molecule	Cancer
PDGF receptor	1999	1	1	?	Human/Protein	Imatinib mesylate	Small molecule	Cancer
PDGF receptor	2000	3	3	1	Human/Protein	Imatinib mesylate	Small molecule	Cancer
PDGF receptor	2001	4	4	1	Human/Protein	Imatinib mesylate	Small molecule	Cancer
Tubulin beta	1990	1	1	1	Human/Protein	Paclitaxel	Small molecule	Cancer
Tubulin beta	1991	1	1	?	Human/Protein	Paclitaxel	Small molecule	Cancer
Tubulin beta	1992	4	4	2	Human/Protein	Paclitaxel	Small molecule	Cancer
26S proteasome	1998	1	1	1	Human/Protein	Bortezomib	Small molecule	Cancer
26S proteasome	1999	1	1	?	Human/Protein	Bortezomib	Small molecule	Cancer
26S proteasome	2001	2	2	1	Human/Protein	Bortezomib	Small molecule	Cancer
26S proteasome	2002	3	3	1	Human/Protein	Bortezomib	Small molecule	Cancer
26S proteasome	2003	4	4	1	Human/Protein	Bortezomib	Small molecule	Cancer
Interleukin-2 receptors	1990	1	1	1	Human/Protein	Denileukin diftitox	Protein drug	Cancer
Interleukin-2 receptors	1991	1	1	?	Human/Protein	Denileukin diftitox	Protein drug	Cancer
Interleukin-2 receptors	1995	1	2	1	Human/Protein	Denileukin diftitox	Protein drug	Cancer
Interleukin-2 receptors	1996	1	2	1	Human/Protein	Denileukin diftitox	Protein drug	Cancer
Interleukin-2 receptors	1997	1	2	1	Human/Protein	Denileukin diftitox	Protein drug	Cancer
Interleukin-2 receptors	1998	1	2	2	Human/Protein	Denileukin diftitox	Protein drug	Cancer
Interleukin-2 receptors	1999	4	4	2	Human/Protein	Denileukin diftitox	Protein drug	Cancer
ANT3	1973	2	2	1	Human/Protein	Enoxaparin	Small molecule	Circul
ANT3	1984	3	3	1	Human/Protein	Enoxaparin	Small molecule	Circul
ANT3	1985	3	3	1	Human/Protein	Enoxaparin	Small molecule	Circul
ANT3	1986	3	3	1	Human/Protein	Enoxaparin	Small molecule	Circul
ANT3	1987	3	3	1	Human/Protein	Enoxaparin	Small molecule	Circul
ANT3	1988	3	3	2	Human/Protein	Enoxaparin	Small molecule	Circul
ANT3	1989	3	3	1	Human/Protein	Enoxaparin	Small molecule	Circul
ANT3	1990	3	3	1	Human/Protein	Enoxaparin	Small molecule	Circul
ANT3	1992	2	2	1	Human/Protein	Enoxaparin	Small molecule	Circul
ANT3	1993	4	4	2	Human/Protein	Enoxaparin	Small molecule	Circul
CGB-PDE	1989	1	1	1	Human/Protein	Sildenafil	Small molecule	Circul
CGB-PDE	1990	1	1	?	Human/Protein	Sildenafil	Small molecule	Circul
CGB-PDE	1998	4	4	1	Human/Protein	Sildenafil	Small molecule	Circul
Beta-2 adrenoceptor	1962	1	1	1	Human/Protein	Propranolol hydrochloride	Small molecule	Circul
Beta-2 adrenoceptor	1963	1	1	?	Human/Protein	Propranolol hydrochloride	Small molecule	Circul
Beta-2 adrenoceptor	1967	4	4	1	Human/Protein	Propranolol hydrochloride	Small molecule	Circul
MR	1957	1	1	1	Human/Protein	Spironolactone	Small molecule	Circul
MR	1958	1	1	?	Human/Protein	Spironolactone	Small molecule	Circul
MR	1960	4	4	1	Human/Protein	Spironolactone	Small molecule	Circul
Beta-1 adrenoceptor	1962	1	1	1	Human/Protein	Propranolol hydrochloride	Small molecule	Circul
Beta-1 adrenoceptor	1963	1	1	?	Human/Protein	Propranolol hydrochloride	Small molecule	Circul
Beta-1 adrenoceptor	1967	4	4	1	Human/Protein	Propranolol hydrochloride	Small molecule	Circul
ACE	1979	1	1	1	Human/Protein	Captopril	Small molecule	Circul
ACE	1980	1	1	?	Human/Protein	Captopril	Small molecule	Circul
ACE	1981	4	4	1	Human/Protein	Captopril	Small molecule	Circul
Alpha-1D adrenoceptor	1974	1	1	1	Human/Protein	Prazosin hydrochloride	Small molecule	Circul
Alpha-1D adrenoceptor	1975	1	1	1	Human/Protein	Prazosin hydrochloride	Small molecule	Circul
Alpha-1D adrenoceptor	1976	4	4	1	Human/Protein	Prazosin hydrochloride	Small molecule	Circul
AGTR1	1992	1	1	1	Human/Protein	Losartan Potassium	Small molecule	Circul
AGTR1	1993	1	1	?	Human/Protein	Losartan Potassium	Small molecule	Circul
AGTR1	1994	2	2	2	Human/Protein	Losartan Potassium	Small molecule	Circul
AGTR1	1995	4	4	2	Human/Protein	Losartan Potassium	Small molecule	Circul
Alpha-1A adrenoceptor	1974	1	1	1	Human/Protein	Prazosin hydrochloride	Small molecule	Circul
Alpha-1A adrenoceptor	1975	1	1	1	Human/Protein	Prazosin hydrochloride	Small molecule	Circul
Alpha-1A adrenoceptor	1976	4	4	1	Human/Protein	Prazosin hydrochloride	Small molecule	Circul
Alpha-1B adrenoceptor	1974	1	1	1	Human/Protein	Prazosin hydrochloride	Small molecule	Circul
Alpha-1B adrenoceptor	1975	1	1	1	Human/Protein	Prazosin hydrochloride	Small molecule	Circul
Alpha-1B adrenoceptor	1976	4	4	1	Human/Protein	Prazosin hydrochloride	Small molecule	Circul
PGI receptor	1983	1	1	1	Human/Protein	Epoprostenol sodium	Small molecule	Circul
PGI receptor	1984	1	1	?	Human/Protein	Epoprostenol sodium	Small molecule	Circul
PGI receptor	1988	2	2	1	Human/Protein	Epoprostenol sodium	Small molecule	Circul
PGI receptor	1995	4	4	2	Human/Protein	Epoprostenol sodium	Small molecule	Circul
SLC12A1	1962	1	1	1	Human/Protein	Furosemide	Small molecule	Circul
SLC12A1	1963	1	1	?	Human/Protein	Furosemide	Small molecule	Circul
SLC12A1	1966	4	4	1	Human/Protein	Furosemide	Small molecule	Circul
Glycoprotein IIb/IIIa receptor	1991	3	3	1	Human/Protein	Abciximab	Antibody	Circul
Glycoprotein IIb/IIIa receptor	1992	3	3	1	Human/Protein	Abciximab	Antibody	Circul
Glycoprotein IIb/IIIa receptor	1993	3	3	3	Human/Protein	Abciximab	Antibody	Circul
Glycoprotein IIb/IIIa receptor	1994	4	4	1	Human/Protein	Abciximab	Antibody	Circul
Calcium channel	1968	1	1	1	Human/Protein	Verapamil hydrochloride	Small molecule	Circul
Calcium channel	1969	1	1	?	Human/Protein	Verapamil hydrochloride	Small molecule	Circul
Calcium channel	1981	4	4	1	Human/Protein	Verapamil hydrochloride	Small molecule	Circul
ETA-R	1993	1	1	1	Human/Protein	Bosentan	Small molecule	Circul
ETA-R	1994	1	1	?	Human/Protein	Bosentan	Small molecule	Circul
ETA-R	1995	1	1	1	Human/Protein	Bosentan	Small molecule	Circul
ETA-R	1996	1	1	1	Human/Protein	Bosentan	Small molecule	Circul
ETA-R	1997	1	1	1	Human/Protein	Bosentan	Small molecule	Circul
ETA-R	1998	2	2	2	Human/Protein	Bosentan	Small molecule	Circul
ETA-R	1999	2	2	3	Human/Protein	Bosentan	Small molecule	Circul
ETA-R	2000	2	2	3	Human/Protein	Bosentan	Small molecule	Circul
ETA-R	2001	4	4	4	Human/Protein	Bosentan	Small molecule	Circul
ET-BR	1995	1	1	1	Human/Protein	Bosentan	Small molecule	Circul
ET-BR	1996	1	1	1	Human/Protein	Bosentan	Small molecule	Circul
ET-BR	1997	1	1	1	Human/Protein	Bosentan	Small molecule	Circul
ET-BR	1998	2	2	2	Human/Protein	Bosentan	Small molecule	Circul
ET-BR	1999	2	2	2	Human/Protein	Bosentan	Small molecule	Circul
ET-BR	2000	2	2	2	Human/Protein	Bosentan	Small molecule	Circul
ET-BR	2001	4	4	2	Human/Protein	Bosentan	Small molecule	Circul
HH2R	1972	1	1	1	Human/Protein	Cimetidine	Small molecule	Digest
HH2R	1973	1	1	?	Human/Protein	Cimetidine	Small molecule	Digest
HH2R	1977	4	4	1	Human/Protein	Cimetidine	Small molecule	Digest
Gastric H(+)/K(+) ATPase	1981	2	3	1	Human/Protein	Omeprazole	Small molecule	Digest
Gastric H(+)/K(+) ATPase	1989	4	4	1	Human/Protein	Omeprazole	Small molecule	Digest
PR	1956	1	1	1	Human/Protein	Norethindrone	Small molecule	Genit
PR	1957	4	4	1	Human/Protein	Norethindrone	Small molecule	Genit
ACM3	1995	1	1	1	Human/Protein	Tolterodine tartrate	Small molecule	Genit
ACM3	1996	1	1	?	Human/Protein	Tolterodine tartrate	Small molecule	Genit
ACM3	1998	4	4	1	Human/Protein	Tolterodine tartrate	Small molecule	Genit
FSH-beta	1985	1	1	1	Human/Protein	Follitropin alpha	Protein drug	Genit
FSH-beta	1986	1	1	?	Human/Protein	Follitropin alpha	Protein drug	Genit
FSH-beta	1997	4	4	1	Human/Protein	Follitropin alpha	Protein drug	Genit
PDE3	1985	1	1	1	Human/Protein	Anagrelide hydrochloride	Small molecule	Hema
PDE3	1986	1	1	?	Human/Protein	Anagrelide hydrochloride	Small molecule	Hema
PDE3	1997	4	4	1	Human/Protein	Anagrelide hydrochloride	Small molecule	Hema
Prothrombin	1993	1	1	1	Human/Protein	Lepirudin recombinant	Protein drug	Hema
Prothrombin	1994	1	1	?	Human/Protein	Lepirudin recombinant	Protein drug	Hema
Prothrombin	1996	1	1	1	Human/Protein	Lepirudin recombinant	Protein drug	Hema
Prothrombin	1997	3	3	1	Human/Protein	Lepirudin recombinant	Protein drug	Hema
Prothrombin	1998	4	4	1	Human/Protein	Lepirudin recombinant	Protein drug	Hema
EPO-R	1987	1	2	1	Human/Protein	Epoetin alpha	Protein drug	Hema
EPO-R	1989	4	4	1	Human/Protein	Epoetin alpha	Protein drug	Hema
HH1R	1942	1	1	1	Human/Protein	Terfenadine	Small molecule	Immu
HH1R	1943	1	1	?	Human/Protein	Terfenadine	Small molecule	Immu
HH1R	1985	4	4	1	Human/Protein	Terfenadine	Small molecule	Immu
mTOR	1994	1	1	1	Human/Protein	Sirolimus	Small molecule	Immu
mTOR	1995	1	1	?	Human/Protein	Sirolimus	Small molecule	Immu
mTOR	1996	2	3	2	Human/Protein	Sirolimus	Small molecule	Immu
mTOR	1997	2	3	1	Human/Protein	Sirolimus	Small molecule	Immu
mTOR	1998	2	3	1	Human/Protein	Sirolimus	Small molecule	Immu
mTOR	1999	4	4	1	Human/Protein	Sirolimus	Small molecule	Immu
FKBP-1A	1989	1	1	1	Human/Protein	Tacrolimus	Small molecule	Immu
FKBP-1A	1990	1	1	?	Human/Protein	Tacrolimus	Small molecule	Immu
FKBP-1A	1994	4	4	1	Human/Protein	Tacrolimus	Small molecule	Immu
G-CSF receptor	1987	1	1	1	Human/Protein	Filgrastim	Protein drug	Immu
G-CSF receptor	1988	2	2	1	Human/Protein	Filgrastim	Protein drug	Immu
G-CSF receptor	1989	2	2	1	Human/Protein	Filgrastim	Protein drug	Immu
G-CSF receptor	1990	2	2	1	Human/Protein	Filgrastim	Protein drug	Immu
G-CSF receptor	1991	4	4	1	Human/Protein	Filgrastim	Protein drug	Immu
SLC6A2	1957	1	1	1	Human/Protein	Imipramine	Small molecule	Mental
SLC6A2	1958	1	1	?	Human/Protein	Imipramine	Small molecule	Mental
SLC6A2	1959	4	4	1	Human/Protein	Imipramine	Small molecule	Mental
5HT transporter	1957	1	1	1	Human/Protein	Imipramine	Small molecule	Mental
5HT transporter	1958	1	1	?	Human/Protein	Imipramine	Small molecule	Mental
5HT transporter	1959	4	4	1	Human/Protein	Imipramine	Small molecule	Mental
GABAA receptor	1958	1	1	1	Human/Protein	Diazepam	Small molecule	Mental
GABAA receptor	1959	1	1	?	Human/Protein	Diazepam	Small molecule	Mental
GABAA receptor	1963	4	4	1	Human/Protein	Diazepam	Small molecule	Mental
ABCC8	1969	1	1	1	Human/Protein	Glibenclamide	Small molecule	Metabo
ABCC8	1970	1	1	?	Human/Protein	Glibenclamide	Small molecule	Metabo
ABCC8	1984	4	4	1	Human/Protein	Glibenclamide	Small molecule	Metabo
GH receptor	1998	1	1	1	Human/Protein	Pegvisomant	Protein drug	Metabo
GH receptor	1999	1	1	?	Human/Protein	Pegvisomant	Protein drug	Metabo
GH receptor	2000	1	1	?	Human/Protein	Pegvisomant	Protein drug	Metabo
GH receptor	2001	3	3	1	Human/Protein	Pegvisomant	Protein drug	Metabo
GH receptor	2002	3	3	1	Human/Protein	Pegvisomant	Protein drug	Metabo
GH receptor	2003	4	4	1	Human/Protein	Pegvisomant	Protein drug	Metabo
A1AT	1980	1	1	1	Human/Protein	Alpha-1-proteinase inhibitor	Protein drug	Metabo
A1AT	1981	1	1	?	Human/Protein	Alpha-1-proteinase inhibitor	Protein drug	Metabo
A1AT	1982	1	1	?	Human/Protein	Alpha-1-proteinase inhibitor	Protein drug	Metabo
A1AT	1987	4	4	1	Human/Protein	Alpha-1-proteinase inhibitor	Protein drug	Metabo
Somatotropin	1981	1	1	1	Human/Protein	Somatrem	Protein drug	Metabo
Somatotropin	1982	2	3	1	Human/Protein	Somatrem	Protein drug	Metabo
Somatotropin	1985	4	4	1	Human/Protein	Somatrem	Protein drug	Metabo
GLUC	1955	1	1	1	Human/Protein	Glucagon hydrochloride	Protein drug	Metabo
GLUC	1956	1	1	?	Human/Protein	Glucagon hydrochloride	Protein drug	Metabo
GLUC	1960	4	4	1	Human/Protein	Glucagon hydrochloride	Protein drug	Metabo
Insulin	1922	1	1	1	Human/Protein	Insulin Human	Protein drug	Metabo
Insulin	1923	1	1	?	Human/Protein	Insulin Human	Protein drug	Metabo
Insulin	1982	4	4	1	Human/Protein	Insulin Human	Protein drug	Metabo
HMGCR	1980	1	1	1	Human/Protein	Lovastatin	Small molecule	Metabo
HMGCR	1981	1	1	?	Human/Protein	Lovastatin	Small molecule	Metabo
HMGCR	1987	4	4	2	Human/Protein	Lovastatin	Small molecule	Metabo
AGAL	1998	1	1	1	Human/Protein	Agalsidase beta	Protein drug	Metabo
AGAL	1999	3	3	2	Human/Protein	Agalsidase beta	Protein drug	Metabo
AGAL	2000	3	3	1	Human/Protein	Agalsidase beta	Protein drug	Metabo
AGAL	2001	3	3	1	Human/Protein	Agalsidase beta	Protein drug	Metabo
AGAL	2002	3	3	2	Human/Protein	Agalsidase beta	Protein drug	Metabo
AGAL	2003	4	4	2	Human/Protein	Agalsidase beta	Protein drug	Metabo
ANDR	1969	1	1	1	Human/Protein	Testosterone	Small molecule	Metabo
ANDR	1970	1	1	?	Human/Protein	Testosterone	Small molecule	Metabo
ANDR	1972	4	4	1	Human/Protein	Testosterone	Small molecule	Metabo
PTL	1995	1	1	1	Human/Protein	Orlistat	Small molecule	Metabo
PTL	1996	1	1	?	Human/Protein	Orlistat	Small molecule	Metabo
PTL	1998	2	2	1	Human/Protein	Orlistat	Small molecule	Metabo
PTL	1999	4	4	1	Human/Protein	Orlistat	Small molecule	Metabo
SS2R	1981	1	1	1	Human/Protein	Octreotide acetate	Small molecule	Metabo
SS2R	1982	1	1	?	Human/Protein	Octreotide acetate	Small molecule	Metabo
SS2R	1983	1	1	?	Human/Protein	Octreotide acetate	Small molecule	Metabo
SS2R	1988	4	4	1	Human/Protein	Octreotide acetate	Small molecule	Metabo
4HPPD	1991	1	1	1	Human/Protein	Nitisinone	Small molecule	Metabo
4HPPD	1992	1	1	?	Human/Protein	Nitisinone	Small molecule	Metabo
4HPPD	2002	4	4	1	Human/Protein	Nitisinone	Small molecule	Metabo
SS-5-R	1981	1	1	1	Human/Protein	Octreotide acetate	Small molecule	Metabo
SS-5-R	1982	1	1	?	Human/Protein	Octreotide acetate	Small molecule	Metabo
SS-5-R	1983	1	1	?	Human/Protein	Octreotide acetate	Small molecule	Metabo
SS-5-R	1988	4	4	1	Human/Protein	Octreotide acetate	Small molecule	Metabo
IDUA	1997	1	2	1	Human/Protein	Laronidase	Protein drug	Metabo
IDUA	2000	3	3	1	Human/Protein	Laronidase	Protein drug	Metabo
IDUA	2001	3	3	1	Human/Protein	Laronidase	Protein drug	Metabo
IDUA	2002	3	3	1	Human/Protein	Laronidase	Protein drug	Metabo
IDUA	2003	4	4	1	Human/Protein	Laronidase	Protein drug	Metabo
PPAR-gamma	1990	2	2	1	Human/Protein	Troglitazone	Small molecule	Metabo
PPAR-gamma	1996	3	3	1	Human/Protein	Troglitazone	Small molecule	Metabo
PPAR-gamma	1997	4	4	1	Human/Protein	Troglitazone	Small molecule	Metabo
PPAR-alpha	1930	1	1	1	Human/Protein	Clofibrate	Small molecule	Metabo
PPAR-alpha	1931	1	1	?	Human/Protein	Clofibrate	Small molecule	Metabo
PPAR-alpha	1967	4	4	1	Human/Protein	Clofibrate	Small molecule	Metabo
GLCT-1	1999	1	1	1	Human/Protein	Miglustat	Small molecule	Metabo
GLCT-1	2000	1	1	?	Human/Protein	Miglustat	Small molecule	Metabo
GLCT-1	2002	2	2	1	Human/Protein	Miglustat	Small molecule	Metabo
GLCT-1	2003	4	4	1	Human/Protein	Miglustat	Small molecule	Metabo
NPCL1	1995	1	1	1	Human/Protein	Ezetimibe	Small molecule	Metabo
NPCL1	1996	1	1	?	Human/Protein	Ezetimibe	Small molecule	Metabo
NPCL1	2001	3	3	1	Human/Protein	Ezetimibe	Small molecule	Metabo
NPCL1	2002	4	4	1	Human/Protein	Ezetimibe	Small molecule	Metabo
Voltage-gated sodium channel	1980	1	1	1	Human/Protein	Lamotrigine	Small molecule	Nerve
Voltage-gated sodium channel	1981	1	1	?	Human/Protein	Lamotrigine	Small molecule	Nerve
Voltage-gated sodium channel	1993	2	2	1	Human/Protein	Lamotrigine	Small molecule	Nerve
Voltage-gated sodium channel	1994	4	4	1	Human/Protein	Lamotrigine	Small molecule	Nerve
Plasminogen	1958	1	1	1	Human/Protein	Alteplase	Protein drug	Nerve
Plasminogen	1959	1	1	?	Human/Protein	Alteplase	Protein drug	Nerve
Plasminogen	1982	3	3	1	Human/Protein	Alteplase	Protein drug	Nerve
Plasminogen	1983	3	3	1	Human/Protein	Alteplase	Protein drug	Nerve
Plasminogen	1984	3	3	1	Human/Protein	Alteplase	Protein drug	Nerve
Plasminogen	1985	3	3	1	Human/Protein	Alteplase	Protein drug	Nerve
Plasminogen	1986	3	3	1	Human/Protein	Alteplase	Protein drug	Nerve
Plasminogen	1987	4	4	2	Human/Protein	Alteplase	Protein drug	Nerve
COMT	1972	1	1	1	Human/Protein	Tolcapone	Small molecule	Nerve
COMT	1973	1	1	?	Human/Protein	Tolcapone	Small molecule	Nerve
COMT	1997	2	2	1	Human/Protein	Tolcapone	Small molecule	Nerve
COMT	1998	4	4	2	Human/Protein	Tolcapone	Small molecule	Nerve
AChE	1981	1	1	1	Human/Protein	Tacrine hydrochloride	Small molecule	Nerve
AChE	1982	1	1	?	Human/Protein	Tacrine hydrochloride	Small molecule	Nerve
AChE	1991	2	2	1	Human/Protein	Tacrine hydrochloride	Small molecule	Nerve
AChE	1993	4	4	2	Human/Protein	Tacrine hydrochloride	Small molecule	Nerve
AOFB	1987	1	1	1	Human/Protein	Selegiline hydrochloride	Small molecule	Nerve
AOFB	1988	1	1	?	Human/Protein	Selegiline hydrochloride	Small molecule	Nerve
AOFB	1989	4	4	2	Human/Protein	Selegiline hydrochloride	Small molecule	Nerve
SV2A	1994	1	1	1	Human/Protein	Levetiracetam	Small molecule	Nerve
SV2A	1995	1	1	?	Human/Protein	Levetiracetam	Small molecule	Nerve
SV2A	1999	4	4	1	Human/Protein	Levetiracetam	Small molecule	Nerve
P2Y12	1975	1	1	1	Human/Protein	Ticlopidine hydrochloride	Small molecule	Nerve
P2Y12	1976	1	1	?	Human/Protein	Ticlopidine hydrochloride	Small molecule	Nerve
P2Y12	1991	4	4	1	Human/Protein	Ticlopidine hydrochloride	Small molecule	Nerve
NMDA receptor	1993	2	2	1	Human/Protein	Memantine	Small molecule	Nerve
NMDA receptor	1994	2	2	1	Human/Protein	Memantine	Small molecule	Nerve
NMDA receptor	1995	2	2	1	Human/Protein	Memantine	Small molecule	Nerve
NMDA receptor	1996	2	2	1	Human/Protein	Memantine	Small molecule	Nerve
NMDA receptor	1997	2	2	1	Human/Protein	Memantine	Small molecule	Nerve
NMDA receptor	1998	2	2	1	Human/Protein	Memantine	Small molecule	Nerve
NMDA receptor	1999	2	2	1	Human/Protein	Memantine	Small molecule	Nerve
NMDA receptor	2000	2	2	1	Human/Protein	Memantine	Small molecule	Nerve
NMDA receptor	2001	2	2	1	Human/Protein	Memantine	Small molecule	Nerve
NMDA receptor	2003	4	4	1	Human/Protein	Memantine	Small molecule	Nerve
5-HT1B	1989	3	3	1	Human/Protein	Sumatriptan succinate	Small molecule	Nerve
5-HT1B	1991	2	2	1	Human/Protein	Sumatriptan succinate	Small molecule	Nerve
5-HT1B	1992	4	4	1	Human/Protein	Sumatriptan succinate	Small molecule	Nerve
5-HT1D	1989	3	3	1	Human/Protein	Sumatriptan succinate	Small molecule	Nerve
5-HT1D	1991	2	2	1	Human/Protein	Sumatriptan succinate	Small molecule	Nerve
5-HT1D	1992	4	4	1	Human/Protein	Sumatriptan succinate	Small molecule	Nerve
Dopamine D3 receptor	1964	1	1	1	Human/Protein	Haloperidol	Small molecule	Nerve
Dopamine D3 receptor	1965	1	1	?	Human/Protein	Haloperidol	Small molecule	Nerve
Dopamine D3 receptor	1967	4	4	1	Human/Protein	Haloperidol	Small molecule	Nerve
CAC1	1980	1	1	1	Human/Protein	Zonisamide	Small molecule	Nerve
CAC1	1981	1	1	?	Human/Protein	Zonisamide	Small molecule	Nerve
CAC1	2000	4	4	1	Human/Protein	Zonisamide	Small molecule	Nerve
CA2	1961	1	1	1	Human/Protein	Dorzolamide hydrochloride	Small molecule	Opht
CA2	1962	1	1	?	Human/Protein	Dorzolamide hydrochloride	Small molecule	Opht
CA2	1993	2	2	1	Human/Protein	Dorzolamide hydrochloride	Small molecule	Opht
CA2	1994	4	4	1	Human/Protein	Dorzolamide hydrochloride	Small molecule	Opht
PGF receptor	1986	1	1	1	Human/Protein	Latanoprost	Small molecule	Opht
PGF receptor	1987	1	1	?	Human/Protein	Latanoprost	Small molecule	Opht
PGF receptor	1992	3	3	1	Human/Protein	Latanoprost	Small molecule	Opht
PGF receptor	1993	3	3	1	Human/Protein	Latanoprost	Small molecule	Opht
PGF receptor	1996	4	4	1	Human/Protein	Latanoprost	Small molecule	Opht
